単語・フレーズ,タグ,サブタグ
after all,,
afternoon,,
afterward,,
agency,,
agent,,
aggressive,,
aggressiveness,,
agreement,,
aid,,
aim,,
aircraft,,
airplane,,
airport,,
aisle,,
album,,
alcohol,,
alert,,
algebra,,
alive,,
alligator,,
allowance,,
almond,,
almost,,
alternate,,
ambassador,,
ambition,,
ambitious,,
ambulance,,
amount,,
an anticancer drug,,
analysis,,
analyze,,
ancestor,,
ancient,,
anemia,,
angle,,
animal,,
anime,,
ankle,,
anniversary,,
announce,,
announcement,,
ant,,
anxiety,,
apartment,,
appear,,
appearance,,
appetizer,,
apple,,
appliance,,
applicant,,
application,,
apply,,
apply for ~,,
appoint,,
appointment,,
appreciation,,
approach,,
approval,,
April,,
archery,,
architect,,
architecture,,
Are you kidding me?,,
area,,
argue,,
argument,,
arise,,
arithmetic,,
arm,,
armchair,,
army,,
aroma,,
arrange,,
arrangement,,
arrest,,
arrival,,
art,,
art gallery,,
article,,
artificial,,
artistic,,
arts and crafts,,
ascend,,
ashamed,,
Asia,,
Asian,,
asparagus,,
aspect,,
aspiration,,
assess,,
assessment,,
assign,,
assignment,,
assist,,
assistance,,
assistant,,
assume,,
assumption,,
assurance,,
asthma,,
astonishment,,
astronaut,,
astronomer,,
astronomy,,
asymmetry,,
atmosphere,,
atom,,
atopy,,
attack,,
attempt,,
attendance,,
attitude,,
attorney,,
attract,,
attraction,,
attractive,,
audience,,
auditorium,,
August,,
aunt,,
author,,
autobiography,,
automatic,,
automobile,,
autumn,,
average,,
avid,,
avocado,,
avoid,,
awake,,
awareness,,
azalea,,
back and forth,,
background,,
backpack,,
badly,,
badminton,,
bag,,
baggage,,
baggage claim,,
balcony,,
ball,,
ban,,
banana,,
band,,
bandage,,
basement,,
basis,,
bathroom,,
bathtub,,
beach,,
bean,,
bean paste (miso),,
bean sprout,,
bear,,
beauty,,
become,,
bed,,
bedroom,,
bee,,
beef,,
beetle,,
begin,,
beginner,,
beginning,,
behavior,,
belief,,
bell,,
belonging,,
below,,
bench,,
bend,,
beneficial,,
benefit,,
benefits,,
besides,,
bet,,
better,,
beverage,,
bicycle,,
big,,
bike,,
bilingual,,
bill,,
billion,,
biodiversity,,
biography,,
biology,,
birthday,,
bite,,
bitter,,
blame,,
blend,,
blender,,
blind,,
block,,
blood pressure,,
blood vessel,,
bloom,,
blouse,,
blow,,
blueberry,,
board,,
boat,,
body,,
body temperature,,
bomb,,
bond,,
bondage,,
bonito,,
book,,
bookcase,,
boost,,
border,,
bore,,
bored,,
boring,,
borrow,,
boss,,
bottom,,
boundary,,
bow,,
bowl,,
box,,
box cutter,,
boy,,
boyfriend,,
brain,,
branch,,
brand,,
bread,,
break down,,
breakfast,,
breakthrough,,
breath,,
breathe,,
breathtaking,,
breed,,
breeze,,
brick,,
bricklayer,,
bride,,
bridegroom,,
bridge,,
brief,,
brilliance,,
brilliant,,
broad,,
broad-minded,,
broadcast,,
broaden,,
broccoli,,
broil,,
broken,,
broom,,
brother,,
brown,,
brown rice,,
browse,,
bruise,,
budget,,
buffet,,
bug,,
builder,,
building,,
bulldozer,,
bullet train,,
bully,,
bullying,,
burden,,
bury,,
bus,,
bus station,,
busy,,
butter,,
butterfly,,
button,,
cab,,
cabinet,,
cafeteria,,
cake,,
calculator,,
calm,,
calmly,,
calmness,,
camel,,
camp,,
campaign,,
campfire,,
campground,,
campsite,,
canal,,
cancer,,
candy,,
candy store,,
canoe,,
canola flower,,
cap,,
capable,,
capacity,,
capitalism,,
captain,,
capybara,,
career,,
careless,,
caring,,
carnation,,
carrot,,
cartoon,,
cartoonist,,
case,,
cashew nut,,
cast,,
castle,,
category,,
caterpillar,,
cattle,,
cauliflower,,
caution,,
cavity,,
cease,,
ceiling,,
celebrate,,
celebration,,
celebrity,,
cell,,
Celsius,,
center,,
centimeter,,
centipede,,
century,,
ceremony,,
certain,,
certainly,,
chair,,
challenge,,
challenging,,
championship,,
chaotic,,
chapter,,
character,,
characteristic,,
charge,,
charity,,
charm,,
charming,,
chase,,
chat,,
cheap,,
cheating,,
cheek,,
cheerful,,
chef,,
chemical,,
chemist,,
chemistry,,
chemotherapy,,
cherish,,
chest,,
chestnut,,
chicken,,
chief,,
child,,
childhood,,
chimney,,
chimpanzee,,
chin,,
chocolate,,
choose,,
chopsticks,,
chrysanthemum,,
cicada,,
circumstance,,
citizen,,
citizenship,,
city,,
claim,,
clam,,
clarify,,
clarity,,
classify,,
clever,,
client,,
climate,,
clip,,
clock,,
club,,
clue,,
clutter,,
co-worker,,
coal,,
coat,,
cockroach,,
cod,,
code,,
coelacanth,,
coexist,,
cognitive,,
colander,,
colleague,,
collect,,
collection,,
college,,
color,,
colorful,,
column,,
comb,,
comedy,,
comfort,,
comfortable,,
command,,
comment,,
commerce,,
commit,,
commitment,,
committee,,
commodity,,
common,,
communicate,,
communication,,
community,,
commute,,
commuter,,
companion,,
company,,
compare,,
comparison,,
compassion,,
compete,,
competent,,
competition,,
competitive,,
competitor,,
complain,,
complaint,,
complete,,
complex,,
complicated,,
component,,
compose,,
composer,,
composition,,
compound,,
comprehend,,
comprehension,,
comprehensive,,
computer,,
conceal,,
conceive,,
concentrate,,
concentration,,
concept,,
concern,,
concert,,
condition,,
conduct,,
conductor,,
cone,,
confess,,
confession,,
confidence,,
confident,,
confirm,,
conflict,,
confuse,,
conger eel,,
congratulation,,
connect,,
connection,,
conquer,,
conscious,,
consensus,,
consent,,
consequence,,
conservation,,
conservative,,
conserve,,
consider,,
considerable,,
considerate,,
consideration,,
consist,,
consistent,,
construct,,
construction,,
constructive,,
consult,,
consultation,,
consume,,
consumer,,
consumption,,
contact,,
contain,,
container,,
contemporary,,
content,,
contest,,
context,,
continent,,
continue,,
contract,,
contrast,,
contribute,,
contribution,,
control,,
controversial,,
controversy,,
convenience,,
convenient,,
convention,,
conventional,,
convey,,
convince,,
convincing,,
cook,,
cookie,,
cool,,
cooperate,,
cooperation,,
coordinate,,
cop,,
cope,,
copy,,
copyright,,
coral reef,,
corn,,
corner,,
corporate,,
corporation,,
correspond,,
cosmos,,
cost,,
cotton,,
couch,,
cough,,
council,,
count,,
country,,
couple,,
courage,,
courageous,,
court,,
cousin,,
cover,,
cow,,
crab,,
crack,,
craft,,
craftspeople,,
crane,,
crash,,
crawl,,
crazy,,
cream,,
create,,
creation,,
creative,,
creativity,,
creature,,
credit,,
crew,,
cricket,,
crime,,
criminal,,
crisis,,
critic,,
critical,,
criticism,,
criticize,,
crocodile,,
crop,,
cross,,
crowd,,
crowd funding,,
crowded,,
crucial,,
cruelty,,
cruise,,
crush,,
cry,,
cucumber,,
cuisine,,
cultivate,,
cultural,,
culture,,
cup,,
cupboard,,
cure,,
curfew,,
curiosity,,
curious,,
curling,,
currency,,
current,,
curry,,
curtain,,
custom,,
customer,,
cute,,
cutting board,,
cutting-edge,,
cyberbullying,,
cycling,,
dahlia,,
daily,,
dairy,,
damage,,
dancing,,
dandelion,,
danger,,
dangerous,,
dark,,
date,,
daughter,,
dawn,,
deadline,,
deal,,
death,,
debate,,
debris,,
debt,,
decade,,
decay,,
deceive,,
December,,
decent,,
decide,,
decision,,
decisive,,
declare,,
decline,,
decrease,,
dedicate,,
deep,,
defeat,,
defend,,
defense,,
define,,
definitely,,
definition,,
degree,,
delay,,
deliberately,,
delicacy,,
delicate,,
delicious,,
delight,,
delighted,,
delightful,,
deliver,,
delivery,,
demand,,
demonstrate,,
demonstration,,
dentist,,
deny,,
depart,,
department,,
department store,,
departure,,
depend,,
dependent,,
deposit,,
depressed,,
depression,,
deprive,,
derive,,
describe,,
description,,
desert,,
deserve,,
design,,
desire,,
desk,,
dessert,,
destination,,
destiny,,
destroy,,
destruction,,
detail,,
detect,,
detective,,
determination,,
determine,,
develop,,
developed,,
developing,,
development,,
device,,
devoted,,
devotion,,
diabetes,,
dialect,,
dialogue,,
diarrhea,,
diary,,
die,,
diet,,
differ,,
difference,,
different,,
difficult,,
difficulty,,
dig,,
digest,,
digital,,
dignity,,
diligence,,
diligent,,
dinner,,
direct,,
direction,,
dirty,,
disability,,
disabled,,
disadvantage,,
disagree,,
disappear,,
disappoint,,
disappointed,,
disappointment,,
disaster,,
discipline,,
discount,,
discourage,,
discover,,
discovery,,
discriminate,,
discrimination,,
discuss,,
discussion,,
disease,,
dish,,
dishonest,,
dislike,,
disorder,,
display,,
dispute,,
distance,,
distant,,
distinct,,
distinction,,
distinctive,,
distinguish,,
distract,,
distraction,,
distribute,,
distribution,,
district,,
disturb,,
disturbance,,
diverse,,
diversity,,
divide,,
division,,
divorce,,
dizzy,,
doctor,,
document,,
documentary,,
doll,,
dollar,,
dolphin,,
domestic,,
dominant,,
donate,,
donation,,
donor,,
door,,
doormat,,
dormitory,,
doubt,,
downsize,,
downtown,,
drag,,
dragonfly,,
drain,,
drama,,
draw,,
drawer,,
dream,,
dress,,
drill,,
drive,,
drop,,
drown,,
drug,,
drum,,
dryer,,
duck,,
due,,
dull,,
during,,
duty,,
dye,,
eager,,
ear,,
early,,
earn,,
earrings,,
earth,,
earthquake,,
earthworm,,
easily,,
east,,
easy,,
eat,,
eco-friendly,,
ecology,,
economy,,
edge,,
edit,,
education,,
eel,,
effect,,
effective,,
efficient,,
effort,,
egg,,
eggplant,,
elder,,
elderly,,
elect,,
election,,
electric,,
electric guitar,,
electricity,,
electronic,,
element,,
elementary,,
elephant,,
elevator,,
email,,
embarrass,,
embarrassment,,
embrace,,
emerge,,
emergency,,
emotion,,
empathy,,
emphasis,,
emphasize,,
empire,,
employee,,
employer,,
employment,,
empty,,
enable,,
enchant,,
encounter,,
encourage,,
encouragement,,
end,,
endanger,,
endure,,
enemy,,
energetic,,
energy,,
engage,,
engagement,,
engineering,,
enhance,,
enjoy,,
enormous,,
enough,,
ensure,,
enter,,
entertain,,
entertainer,,
entertaining,,
entertainment,,
enthusiasm,,
enthusiastic,,
entrepreneur,,
entry,,
environment,,
environmental,,
environmentalist,,
envy,,
equal,,
equality,,
equipment,,
equivalent,,
era,,
eraser,,
escape,,
especially,,
essay,,
essence,,
essential,,
establish,,
estimate,,
ethics,,
ethnic,,
evacuate,,
evaluate,,
evaluation,,
evening,,
evidence,,
evident,,
evil,,
evolution,,
examine,,
example,,
excellent,,
exception,,
exceptional,,
exchange,,
exclude,,
exclusive,,
excuse,,
execute,,
execution,,
executive,,
exercise,,
exhaust,,
exhibit,,
exhibition,,
exist,,
existence,,
exotic,,
expand,,
expansion,,
expect,,
expectation,,
expense,,
expensive,,
experience,,
experiment,,
expire,,
explain,,
explanation,,
exploration,,
explore,,
explorer,,
export,,
expose,,
exposure,,
express,,
expression,,
extinct,,
extinction,,
extra,,
extraordinary,,
extreme,,
extremely,,
eye,,
eyebrow,,
eyelash,,
eyesight,,
face,,
face-to-face,,
facilitate,,
facility,,
fact,,
factor,,
factory,,
factual,,
faculty,,
fail,,
failure,,
fair,,
fair trade,,
faith,,
faithful,,
fall,,
fame,,
familiar,,
family,,
famous,,
fancy,,
fantastic,,
fantasy,,
far,,
fare,,
farewell,,
farm,,
farmer,,
fascinate,,
fascinating,,
fashion,,
fast food,,
father,,
fault,,
fear,,
feature,,
February,,
fee,,
feedback,,
feel,,
feeling,,
female,,
fence,,
ferry,,
festival,,
fever,,
fiction,,
field,,
fight,,
figure,,
fill,,
final,,
finance,,
financial,,
find,,
finger,,
finish,,
fire,,
firework,,
firm,,
first,,
fish,,
fishing,,
fit,,
fix,,
flat,,
flavor,,
flea,,
flexibility,,
flexible,,
flight,,
float,,
flood,,
floor,,
flounder,,
flour,,
flourish,,
flow,,
flower,,
flu,,
fluent,,
fluid,,
fly,,
focus,,
fog,,
fold,,
folk,,
follow,,
food,,
foot,,
football,,
forbid,,
force,,
forecast,,
forehead,,
foreign,,
forest,,
forget,,
forgive,,
fork,,
form,,
formal,,
format,,
former,,
fortunate,,
fortune,,
fossil,,
found,,
foundation,,
founder,,
fountain pen,,
fragment,,
frame,,
frank,,
frankly,,
free,,
freedom,,
freeze,,
freezer,,
frequency,,
frequent,,
friend,,
friendly,,
friendship,,
frighten,,
frightened,,
frightening,,
frigid,,
frozen,,
fruit,,
frustrate,,
frustration,,
fry,,
fuel,,
fulfill,,
fulfillment,,
full,,
fun,,
function,,
fund,,
fundamental,,
funeral,,
funny,,
furniture,,
futsal,,
future,,
gadget,,
gallery,,
game,,
gap,,
garage,,
garbage,,
garden,,
garlic,,
gas stove,,
gather,,
gender,,
gene,,
general,,
generate,,
generation,,
generosity,,
generous,,
genetic,,
genius,,
gentle,,
gently,,
genuine,,
genuinely,,
geography,,
geology,,
geometry,,
gerbera,,
gesture,,
ghost,,
gift,,
ginger,,
giraffe,,
girl,,
girlfriend,,
glad,,
glass,,
glasses,,
global,,
globalization,,
globe,,
globefish,,
gloves,,
glue,,
goal,,
goat,,
gold,,
golf,,
good,,
Good luck.,,
goose,,
gorilla,,
govern,,
government,,
governor,,
grab,,
grace,,
grade,,
gradual,,
graduate,,
graduation,,
grain,,
grammar,,
granddaughter,,
grandfather,,
grandmother,,
grandparent,,
grape,,
grapefruit,,
grasp,,
grasshopper,,
grateful,,
gray,,
great,,
green,,
green pepper,,
greet,,
greeting,,
grief,,
grill,,
grocery store,,
ground,,
grow,,
growth,,
guarantee,,
guard,,
guess,,
guest,,
guideline,,
guilt,,
guilty,,
guitar,,
gymnastics,,
habit,,
habitat,,
hair,,
hall,,
hamburger,,
hammer,,
hand,,
handball,,
handle,,
handsome,,
handy,,
happen,,
happiness,,
happy,,
hard,,
hardship,,
hardworking,,
harm,,
harmful,,
harmless,,
harvest,,
hat,,
hate,,
hatred,,
hay fever,,
hazardous,,
head,,
headache,,
headline,,
heal,,
healing,,
health,,
healthy,,
hear,,
heart,,
heartburn,,
heater,,
heaven,,
heavy,,
heel,,
height,,
helicopter,,
help,,
helpful,,
helpless,,
heritage,,
hero,,
hesitate,,
hesitation,,
hide,,
high,,
high school,,
highway,,
hike,,
hiking,,
hill,,
hire,,
historic,,
history,,
hit,,
hobby,,
hockey,,
hold,,
holiday,,
home,,
homestay,,
hometown,,
homework,,
honest,,
honesty,,
honey,,
honor,,
hope,,
horizon,,
horizontal,,
horrible,,
horror,,
horse,,
horse mackerel,,
hospital,,
hospitality,,
host,,
host family,,
host mother,,
hour,,
house,,
household,,
housework,,
huge,,
human,,
human being,,
humanity,,
humid,,
humor,,
hundred,,
hungry,,
hurry,,
hurt,,
husband,,
hypothesis,,
ice,,
idea,,
ideal,,
idealism,,
identify,,
identity,,
ignorant,,
ignore,,
ill,,
illegal,,
illusion,,
illustrate,,
illustration,,
image,,
imagination,,
imagine,,
imitate,,
imitation,,
immediate,,
immigrant,,
immunity,,
impact,,
impartial,,
impatient,,
imperial,,
implant,,
implement,,
implication,,
imply,,
impolite,,
import,,
importance,,
important,,
impose,,
impress,,
impression,,
impressive,,
improve,,
incident,,
include,,
income,,
inconvenience,,
inconvenient,,
increase,,
independence,,
independent,,
indicate,,
individual,,
indulge,,
industrious,,
industry,,
inedible,,
inevitable,,
inexpensive,,
inexperienced,,
infant,,
infect,,
inferior,,
infinite,,
influence,,
influenza,,
information,,
ingredient,,
inhabit,,
inhabitant,,
inherit,,
initiative,,
injure,,
injury,,
inner,,
innocence,,
innocent,,
innovate,,
innovation,,
innovative,,
innovator,,
inquiry,,
insane,,
insect,,
inside,,
insight,,
insist,,
inspect,,
inspection,,
inspiration,,
inspire,,
install,,
instance,,
instant,,
instead,,
institution,,
instruct,,
instruction,,
instructor,,
instrument,,
insufficient,,
intelligence,,
intelligent,,
intend,,
intense,,
intention,,
interact,,
interaction,,
interactive,,
interdisciplinary,,
interest,,
interested,,
interesting,,
interfere,,
interference,,
internal,,
international,,
Internet,,
interpret,,
interpretation,,
interpreter,,
interrupt,,
interval,,
interview,,
interviewee,,
interviewer,,
intolerable,,
introduce,,
introduction,,
invade,,
invaluable,,
invent,,
invention,,
invest,,
investigation,,
investigator,,
investment,,
invitation,,
invite,,
involve,,
iris,,
iron,,
ironic,,
irrational,,
irregular,,
irrelevant,,
irritate,,
island,,
isolate,,
isolation,,
issue,,
item,,
itinerary,,
jacket,,
jam,,
jazz,,
jealous,,
jealousy,,
jeans,,
jellyfish,,
jet aircraft,,
job,,
job opening,,
job seeker,,
join,,
joint,,
journey,,
joy,,
judge,,
judgment,,
juicy,,
jump,,
junk,,
justice,,
kangaroo,,
keep,,
kettle,,
key,,
keyboard,,
kick,,
kid,,
kill,,
kind,,
kindness,,
king,,
kingdom,,
kit,,
kitchen knife,,
kiwi fruit,,
knee,,
knit cap,,
knitting needle,,
knock,,
know,,
knowledge,,
koala,,
label,,
labor,,
lacrosse,,
ladle,,
lady,,
ladybug,,
lake,,
lamp,,
landmark,,
landscape,,
language,,
laptop (computer),,
large,,
last,,
lasting,,
late,,
lately,,
later on,,
latest,,
laugh,,
laughter,,
launch,,
lavender,,
law,,
lawful,,
lawyer,,
lazy,,
lead,,
leader,,
leadership,,
leaf,,
league,,
lean,,
learn,,
leave,,
lecture,,
lecturer,,
left,,
leg,,
legal,,
legend,,
legendary,,
leisure,,
lemon,,
lend,,
lesson,,
letter,,
lettuce,,
level,,
lever,,
liberty,,
library,,
license,,
lid,,
lie,,
life,,
lifestyle,,
lift,,
light,,
lightning,,
like,,
lily,,
lime,,
limit,,
limousine,,
line,,
linguistic,,
linguistics,,
lion,,
lip,,
list,,
listen,,
literal,,
literally,,
literary,,
literate,,
literature,,
little,,
live,,
lively,,
load,,
lobster,,
local,,
locate,,
location,,
logic,,
logical,,
loneliness,,
lonely,,
long-lasting,,
long-sleeved shirt,,
look,,
loose,,
lorry,,
lose,,
loss,,
lost,,
lottery,,
lotus,,
lotus root,,
love,,
low,,
loyal,,
luck,,
luggage,,
lunch,,
lung,,
luxury,,
machine,,
mackerel,,
magazine,,
magnet,,
magnificent,,
mail,,
maintain,,
major,,
mammal,,
man,,
manage,,
management,,
manager,,
manipulate,,
manner,,
mantis,,
manual,,
manufacture,,
map,,
marathon,,
margin,,
mark,,
market,,
marriage,,
marry,,
marshmallow,,
marvelous,,
mass,,
masterpiece,,
match,,
material,,
matter,,
mature,,
maximum,,
May,,
maybe,,
mayor,,
meal,,
mean,,
meaning,,
means,,
meanwhile,,
measles,,
measure,,
meat,,
media,,
medical,,
medicine,,
meet,,
meeting,,
melon,,
melt,,
member,,
membership,,
memorial,,
memory,,
mental,,
mention,,
menu,,
mess,,
message,,
metal,,
meter,,
method,,
microwave,,
midday,,
migraine,,
military,,
milk,,
mince,,
mind,,
mineral-rich,,
minimum,,
minister,,
ministry,,
minority,,
minute,,
mirror,,
miserable,,
misery,,
miss,,
missing,,
mission,,
mistake,,
misunderstanding,,
mix,,
moderate,,
modern,,
modest,,
modify,,
molecule,,
moment,,
money,,
monitor,,
monkey,,
monkfish,,
monopoly,,
monorail,,
month,,
mood,,
moon,,
moral,,
morning,,
mosquito,,
moth,,
mother,,
motivation,,
motive,,
motorcycle,,
mountain,,
mouse,,
mouth,,
move,,
move away,,
move back,,
move on,,
movement,,
movie,,
mug,,
multiply,,
murder,,
muscle,,
museum,,
music,,
musician,,
mustard,,
mutual,,
nail,,
naive,,
name,,
narrow,,
nasty,,
nation,,
national,,
native,,
natural,,
naturally,,
nature,,
near,,
nearby,,
nearly,,
neat,,
necessary,,
necessity,,
neck,,
necktie,,
need,,
needle,,
negative,,
neglect,,
negotiate,,
negotiation,,
neighbor,,
neighborhood,,
nerve,,
nervous,,
nevertheless,,
new,,
news,,
newspaper,,
next,,
nice,,
nightmare,,
nod,,
noise,,
noisy,,
nonetheless,,
nonsense,,
noon,,
normal,,
north,,
nose,,
note,,
notebook,,
notepad,,
notice,,
notion,,
nourishing,,
nourishment,,
novel,,
novelist,,
nuclear,,
number,,
nurse,,
nutrition,,
o'clock,,
obey,,
object,,
obligation,,
observation,,
observe,,
obstacle,,
obtain,,
obvious,,
obviously,,
occasion,,
occupation,,
occupy,,
occur,,
occurrence,,
octopus,,
odd,,
offend,,
offense,,
offer,,
office,,
officer,,
official,,
old,,
once,,
onion,,
online,,
open,,
operate,,
operation,,
opinion,,
opportunity,,
oppose,,
opposite,,
opposition,,
opt,,
optimism,,
optimist,,
optimistic,,
orange,,
orbit,,
order,,
ordinary,,
organ,,
organic,,
organism,,
organization,,
organize,,
origin,,
original,,
orphan,,
ostrich,,
outbreak,,
outcome,,
outline,,
outlook,,
output,,
outside,,
outstanding,,
outweigh,,
oven,,
overcome,,
overlook,,
overseas,,
overtime,,
overuse,,
overweight,,
overwhelm,,
overwhelming,,
owe,,
owner,,
ox,,
oxygen,,
oyster,,
Pacific,,
pack,,
package,,
pain,,
painful,,
paint,,
painter,,
palace,,
pan,,
panda,,
pansy,,
pants,,
parachute,,
parade,,
paradise,,
paragraph,,
parallel,,
parent,,
park,,
parking,,
Parliament,,
part,,
partial,,
participant,,
participate,,
participation,,
particular,,
partner,,
party,,
pass,,
passage,,
passenger,,
passion,,
passive,,
passport,,
past,,
pasta,,
patent,,
path,,
patience,,
patient,,
patio,,
patrol car,,
pavement,,
pay,,
payroll,,
pea,,
peaceful,,
peach,,
peacock,,
peak,,
peanut,,
peculiarity,,
peeler,,
peer,,
penalty,,
pencil,,
penetrate,,
penguin,,
penny,,
pension,,
people,,
pepper,,
perceive,,
perception,,
perfect,,
perform,,
perhaps,,
period,,
permanent,,
permission,,
permit,,
persimmon,,
persist,,
person,,
personal,,
perspective,,
persuade,,
persuasive,,
pessimistic,,
pet,,
petroleum,,
phenomenon,,
philosophy,,
phone,,
photo,,
physical,,
physics,,
piano,,
pick,,
picnic,,
picture,,
pie,,
piece,,
pig,,
pile,,
pillow,,
pilot,,
pin,,
pin ~ down,,
pineapple,,
pink,,
pistachio,,
pitcher,,
pity,,
pizza,,
place,,
plain,,
plan,,
plane,,
planet,,
planetarium,,
plant,,
plastic,,
plate,,
play,,
player,,
playful,,
playground,,
pleasant,,
please,,
pleasure,,
plot,,
plumber,,
pocket,,
poem,,
poet,,
poetry,,
point,,
poison,,
poisonous,,
polar bear,,
pole,,
police,,
policy,,
polish,,
polite,,
political,,
politician,,
politics,,
pollutant,,
pollute,,
pollution,,
pond,,
poor,,
pop,,
popular,,
popularity,,
population,,
portion,,
portrait,,
portray,,
pose,,
position,,
positive,,
possess,,
possession,,
possibility,,
possible,,
post,,
post office,,
postpone,,
pot,,
potato,,
potential,,
pour,,
poverty,,
power,,
powerful,,
practical,,
practice,,
praise,,
prawn,,
pray,,
prayer,,
precious,,
precipitation,,
precise,,
precisely,,
precision,,
predict,,
prediction,,
prefer,,
preference,,
prejudice,,
premiere,,
preparation,,
prepare,,
prescription,,
present,,
presentation,,
preserve,,
press,,
pressure,,
prestigious,,
pretend,,
pretty,,
prevent,,
prevention,,
price,,
pride,,
primary,,
prime minister,,
princess,,
principle,,
printer,,
prior,,
priority,,
prison,,
prisoner,,
privacy,,
private,,
privilege,,
prize,,
probably,,
problem,,
procedure,,
produce,,
product,,
production,,
profession,,
professional,,
professor,,
profound,,
program,,
progress,,
prohibit,,
promise,,
promote,,
pronunciation,,
proof,,
proper,,
property,,
proposal,,
propose,,
prosper,,
prosperity,,
protect,,
protection,,
protein,,
prove,,
proverb,,
provide,,
psychologist,,
psychology,,
public,,
publish,,
pull,,
pumpkin,,
punctual,,
punish,,
punishment,,
purchase,,
pure,,
purify,,
purpose,,
pursue,,
pursuit,,
push,,
puzzle,,
qualification,,
qualify,,
quality,,
quantity,,
quarter,,
queen,,
question,,
questionnaire,,
quick,,
quiet,,
quite,,
quotation,,
quote,,
race,,
racial,,
racism,,
racket,,
radio,,
rain,,
rainbow,,
raise,,
range,,
rank,,
rapid,,
rare,,
raspberry,,
rate,,
rather,,
reach,,
react,,
reaction,,
read,,
ready,,
real,,
realistic,,
reality,,
realization,,
realize,,
really,,
reap,,
reason,,
reasonable,,
reassure,,
recall,,
receipt,,
receive,,
recent,,
recently,,
reception,,
recipe,,
recipient,,
recognition,,
recognize,,
recommend,,
recommendation,,
recover,,
recovery,,
recycle,,
red,,
reduce,,
reduction,,
refer,,
reference,,
reflect,,
reform,,
refresh,,
refrigerator,,
refuge,,
refugee,,
refund,,
refusal,,
refuse,,
regain,,
regard,,
regardless,,
region,,
register,,
regret,,
regular,,
regulate,,
regulation,,
reject,,
relate,,
relation,,
relationship,,
relative,,
relax,,
release,,
relevance,,
relevant,,
reliable,,
religion,,
religious,,
reluctant,,
rely,,
remain,,
remark,,
remarkable,,
remedy,,
remember,,
remind,,
reminder,,
remote,,
removal,,
remove,,
rent,,
repair,,
repeat,,
replace,,
reply,,
report,,
reporter,,
represent,,
reputable,,
reputation,,
request,,
require,,
requirement,,
rescue,,
research,,
researcher,,
resemble,,
reservation,,
reserve,,
reside,,
residence,,
resident,,
resign,,
resolution,,
resort,,
resource,,
respect,,
respond,,
response,,
responsibility,,
responsible,,
rest,,
restart,,
restaurant,,
restore,,
restrict,,
restriction,,
restroom,,
result,,
resume,,
retain,,
retire,,
retirement,,
return,,
reunion,,
reveal,,
reverse,,
review,,
reward,,
rhinoceros,,
rhythm,,
rice,,
rich,,
ride,,
ridiculous,,
right,,
ring,,
risk,,
risky,,
ritual,,
river,,
road,,
roast,,
rock,,
role,,
roll,,
romantic,,
roof,,
room,,
rose,,
rough,,
routine,,
royal,,
rude,,
rug,,
rugby,,
ruin,,
rule,,
ruler,,
rumor,,
run,,
runny nose,,
rural,,
sacred,,
sacrifice,,
sad,,
safe,,
sailboat,,
sailing,,
salad,,
sale,,
salmon,,
salt,,
same,,
sand,,
sandals,,
sandwich,,
sandy,,
sardine,,
satellite,,
satisfaction,,
satisfy,,
sauté,,
save,,
savings,,
say,,
scale,,
scallion,,
scallop,,
scanner,,
scar,,
scare,,
scarf,,
scatter,,
scene,,
scenery,,
schedule,,
school,,
science,,
scientist,,
scissors,,
score,,
scratch,,
scream,,
sculpture,,
sea bass,,
sea bream,,
sea cucumber,,
sea horse,,
sea level,,
sea lion,,
sea otter,,
sea turtle,,
sea urchin,,
seafood,,
seal,,
search,,
season,,
seat,,
second,,
secretary,,
section,,
sector,,
secure,,
security,,
see,,
seed,,
seek,,
seem,,
seize,,
seizure,,
select,,
self-confidence,,
self-discipline,,
selfish,,
sell,,
semester,,
senior,,
sense,,
sensible,,
sensitive,,
sentence,,
sentiment,,
separate,,
separation,,
sequence,,
serious,,
seriously,,
servant,,
serve,,
service,,
session,,
set,,
settle,,
settlement,,
severe,,
shade,,
shadow,,
shake,,
shallow,,
shame,,
shampoo,,
shape,,
share,,
shark,,
sharp,,
sheep,,
shelf,,
shift,,
shine,,
ship,,
shirt,,
shock,,
shoes,,
shoot,,
shop,,
shopping,,
shore,,
short,,
shortage,,
shoulder,,
show,,
shredder,,
shrimp,,
shrink,,
shut,,
shy,,
sick,,
side,,
sigh,,
sight,,
sightseeing,,
sign,,
signal,,
significance,,
significant,,
silly,,
similar,,
similarity,,
simple,,
sing,,
sink,,
sister,,
sit,,
site,,
situation,,
size,,
skeptical,,
skill,,
skillful,,
skin,,
skirt,,
sky,,
slave,,
sleep,,
slice,,
slide,,
slippers,,
small,,
smart,,
smartphone,,
smell,,
smile,,
smooth,,
snail,,
snake,,
sneakers,,
sneeze,,
snore,,
snow,,
snowman,,
soap,,
soccer,,
sociable,,
social,,
society,,
software,,
soil,,
soldier,,
solid,,
solution,,
solve,,
sommelier,,
son,,
sore,,
sore throat,,
sorrow,,
sort,,
soul,,
sound,,
soup,,
source,,
souvenir,,
space,,
speak,,
speaker,,
special,,
species,,
specific,,
spectacle,,
spectacular,,
speech,,
speed,,
spend,,
sphere,,
spider,,
spinach,,
spirit,,
sport,,
spot,,
spread,,
square,,
stable,,
stadium,,
staff,,
stair,,
stand,,
standard,,
stapler,,
star,,
start,,
state,,
